id,Name,Age,Gender,Qualification_type,Job_Type,Race,GPA,Interviewed
2926,Valaree Rushworth,47,F,5,Sales,Black,1.7,FALSE
2927,Anders Philipsen,24,M,4,Services,White,1.7,TRUE
2928,Othella Lassells,43,F,3,Engineering,Latino,3,FALSE
2929,Raf Tidswell,34,F,1,Training,Asian,1.7,FALSE
2930,Rik Emmens,21,M,4,Product Management,Black,2,FALSE
2931,Gabbie Steeden,31,M,2,Engineering,Other,0.7,TRUE
2932,Menard Barosch,50,M,4,Engineering,Other,2.3,TRUE
2933,Thorstein Spooner,37,M,5,Engineering,Latino,2.7,TRUE
2934,Ursuline Yakebowitch,46,F,4,Accounting,Black,0,FALSE
2935,Lorne Suddards,46,F,5,Support,Other,3.3,TRUE
2936,Nan Dockree,54,F,3,Accounting,Asian,2,FALSE
2937,Aile Sherburn,30,F,5,Research and Development,Other,3.7,FALSE
2938,Martyn Mullin,40,M,5,Support,White,2,TRUE
2939,Boony Longstaffe,59,M,3,Human Resources,White,3,TRUE
2940,Billie Blaszczak,39,M,2,Research and Development,Other,2.7,FALSE
2941,Wilburt Mundwell,47,M,2,Training,Latino,1,FALSE
2942,Dionne Birkin,39,F,3,Support,Asian,3,TRUE
2943,Kaleena Paolicchi,47,F,5,Training,Asian,3.7,FALSE
2944,Paulette Sword,21,F,1,Services,Other,0,TRUE
2945,Archibold Goldney,21,M,1,Legal,Other,2.3,FALSE
2946,Welch Tinham,33,M,3,Services,Asian,2.3,FALSE
2947,Elwira Adamovsky,53,F,5,Legal,White,1.3,TRUE
2948,Carl Cogswell,34,M,5,Product Management,Latino,1,FALSE
2949,Conrade Halcro,27,M,4,Legal,Black,2.7,TRUE
2950,Alric Moss,34,M,1,Research and Development,Latino,0.7,TRUE
2951,Farand Klulicek,50,F,5,Accounting,Latino,3,TRUE
2952,Wildon Lewing,50,M,3,Legal,Other,1.3,TRUE
2953,Brianna Kohnen,53,F,2,Services,Other,3.7,TRUE
2954,Judye Sancraft,38,F,1,Accounting,Asian,3.3,FALSE
2955,Kurt Couves,23,M,4,Human Resources,White,1.7,FALSE
2956,Goddart Sprouls,27,M,4,Sales,Black,0,TRUE
2957,Ware Olenchenko,26,M,4,Services,Latino,0,FALSE
2958,Rickie Benzing,34,F,4,Product Management,Latino,1.3,TRUE
2959,Trude Nance,54,F,3,Support,Latino,4,TRUE
2960,Yuma Maginot,60,M,3,Research and Development,Asian,2,TRUE
2961,Lida MacGillavery,56,F,1,Marketing,Other,0.7,FALSE
2962,Jordanna Petcher,49,F,4,Marketing,Asian,0,TRUE
2963,Freddie Inkle,30,F,3,Support,White,3.3,FALSE
2964,Mari Vasyunin,59,F,5,Services,Asian,1.3,FALSE
2965,Ilse Dowbekin,48,F,5,Legal,Other,3,FALSE
2966,Imelda Monteith,50,F,4,Human Resources,Latino,2.3,FALSE
2967,Rosette Paraman,59,F,1,Engineering,Black,4,TRUE
2968,Nolie Manson,34,F,2,Services,Latino,4,TRUE
2969,Donal Lanney,29,M,3,Accounting,White,3,TRUE
2970,Veronika Merryfield,38,F,3,Engineering,Latino,2.3,FALSE
2971,Josiah Shute,47,M,2,Support,Black,0,FALSE
2972,Ag Rivers,21,F,5,Services,Black,2,TRUE
2973,Jakie Waugh,44,M,3,Legal,Other,2.3,FALSE
2974,Benedikt Terran,30,M,1,Marketing,Asian,0,FALSE
2975,Sullivan Le Batteur,54,M,5,Product Management,Latino,3.3,FALSE
2976,Mary Oldnall,28,F,1,Accounting,Asian,3.7,TRUE
2977,Alisha Havesides,50,F,5,Engineering,Black,1.7,TRUE
2978,Neddy Jambrozek,36,M,1,Training,Other,0.7,FALSE
2979,Corrie Cowndley,30,M,5,Sales,Asian,0.7,TRUE
2980,Dayna Collet,49,F,3,Support,Other,1.3,FALSE
2981,Vinita Caswall,57,F,1,Sales,White,2,FALSE
2982,Cash Splevins,31,M,4,Legal,Asian,3.3,FALSE
2983,Zsa zsa Tzar,34,F,5,Sales,White,2.3,TRUE
2984,Mannie Licas,25,M,5,Accounting,Black,2,TRUE
2985,Dodi McCaster,31,F,5,Legal,Other,0,FALSE
2986,Deloria Beauchamp,40,F,4,Product Management,Black,1.3,FALSE
2987,Ernestine Eglington,53,F,5,Business Development,White,1,TRUE
2988,Sue Francescoccio,43,F,3,Services,Other,2.3,TRUE
2989,Mike Sergison,37,M,2,Training,Other,3.3,TRUE
2990,Robby Walding,43,F,1,Engineering,Asian,3,FALSE
2991,Shelagh Jencken,31,F,5,Product Management,Asian,3,FALSE
2992,Beret Simcock,37,F,4,Research and Development,Asian,3.3,TRUE
2993,Salvador Capin,27,M,5,Research and Development,Other,2.3,TRUE
2994,Marillin Shallo,34,F,2,Services,Latino,0,FALSE
2995,Winnie Kersting,41,M,4,Services,Other,1.7,FALSE
2996,Haydon Willstrop,39,M,3,Product Management,Latino,1,FALSE
2997,Randolph Worsnup,28,M,2,Research and Development,Latino,1,FALSE
2998,Nicoli Hadlow,43,F,3,Research and Development,Latino,4,FALSE
2999,Kellia Roggerone,22,F,2,Human Resources,Black,2.3,TRUE
3000,Christan Alchin,56,F,3,Sales,Other,2.7,FALSE
3001,Adham Lethabridge,51,M,5,Accounting,Asian,0.7,FALSE
3002,Jacquie Horning,49,F,4,Legal,Black,2.7,FALSE
3003,Nicola Mathison,52,M,5,Training,Other,4,TRUE
3004,Burtie Bumford,52,M,2,Legal,Black,1,FALSE
3005,Harwilll Maunsell,51,M,2,Engineering,Other,4,FALSE
3006,Devora Bome,47,F,3,Human Resources,Latino,3.7,FALSE
3007,Lorrie Kleinstern,30,F,1,Engineering,Latino,3.7,TRUE
3008,Virginie Torrijos,55,F,1,Human Resources,Asian,3.7,TRUE
3009,Wallie Barbosa,26,F,2,Research and Development,Other,2,TRUE
3010,Gill Eastment,55,M,1,Accounting,Latino,1,TRUE
3011,Katee Terlinden,33,F,1,Marketing,White,1.7,TRUE
3012,Derwin Milius,30,M,4,Services,Latino,3.7,FALSE
3013,Jakie Buard,21,M,2,Training,Other,3.7,FALSE
3014,Dolores Phillips,21,F,3,Services,Other,4,FALSE
3015,Edvard Ridgwell,53,M,3,Product Management,Black,4,TRUE
3016,Agnola Hellyar,53,F,2,Engineering,White,3.7,FALSE
3017,Kenn Potkins,31,M,1,Product Management,White,2.7,FALSE
3018,Amii Scardifield,30,F,4,Engineering,Latino,1.3,FALSE
3019,Ardith Lalor,25,F,1,Legal,Asian,3,FALSE
3020,Waverley Sobey,58,M,2,Services,Other,3,FALSE
3021,Tessy MacMakin,52,F,3,Accounting,Latino,3.7,FALSE
3022,Rustie Lattka,35,M,2,Support,Asian,1.3,TRUE
3023,Nissa Melross,39,F,5,Support,Other,0.7,TRUE
3024,Carolyn McLenahan,22,F,3,Product Management,White,2,FALSE
3025,Roslyn Guilbert,46,F,3,Support,Latino,3.7,TRUE
3026,Elonore MacLise,44,F,4,Sales,White,2.7,FALSE
3027,Derk Alyonov,29,M,4,Accounting,White,0,FALSE
3028,Lilia Kardos-Stowe,27,F,3,Sales,White,3,TRUE
3029,Hyman Collopy,33,M,2,Legal,Black,1,FALSE
3030,Cecilius Eccleston,52,M,3,Support,Other,2.3,TRUE
3031,Betty Vaszoly,46,F,4,Product Management,Latino,2.7,FALSE
3032,Glenn Olland,37,M,4,Business Development,White,1.3,FALSE
3033,Josee Gunda,58,F,1,Product Management,Asian,2.3,FALSE
3034,Tabby Fiddymont,32,M,3,Accounting,Black,1.3,FALSE
3035,Korrie Dober,24,F,5,Engineering,Other,2,TRUE
3036,Delbert Purvess,57,M,3,Training,Black,2.3,TRUE
3037,Yehudit Jenteau,29,M,2,Research and Development,Latino,1.7,FALSE
3038,Wilfrid Gazzard,35,M,5,Business Development,Latino,1.7,TRUE
3039,Joela Digby,41,F,2,Marketing,Asian,0.7,TRUE
3040,Vernor McLoughlin,30,M,3,Training,Latino,3.7,FALSE
3041,Leanora Donahue,38,F,1,Engineering,White,1,TRUE
3042,Athene Blamey,60,F,5,Sales,Latino,2.3,FALSE
3043,Kirby Ashfold,42,F,2,Accounting,Other,3.7,TRUE
3044,Laurel Paulich,44,F,1,Research and Development,Black,2,FALSE
3045,Julius Drew-Clifton,48,M,1,Human Resources,Asian,0,FALSE
3046,Emlyn Crutchfield,26,M,5,Research and Development,Latino,2.7,FALSE
3047,Webb Pridden,37,M,3,Engineering,Asian,0,FALSE
3048,Opalina Boyet,40,F,1,Sales,Other,4,TRUE
3049,Klement Lentsch,48,M,2,Training,Asian,4,FALSE
3050,Henrik Camilletti,53,M,5,Support,Other,2,FALSE
3051,Rozamond Ricciardo,35,F,5,Accounting,White,3.7,TRUE
3052,Jayne Adamiak,58,F,2,Engineering,Latino,3,FALSE
3053,Sharyl Rennles,52,F,3,Services,Asian,1.3,FALSE
3054,Bax Serridge,51,M,5,Legal,Asian,0,FALSE
3055,Delmar Brewett,48,M,2,Engineering,White,3.7,FALSE
3056,Hildegarde Raoult,55,F,3,Engineering,Latino,3,TRUE
3057,Rafe Cordeau,28,M,4,Human Resources,Other,3,TRUE
3058,Gal Jeandot,37,M,5,Engineering,Black,3.7,FALSE
3059,Raphaela McCool,53,F,2,Human Resources,Latino,3.7,FALSE
3060,Eydie Buscher,32,F,4,Product Management,Asian,3.3,TRUE
3061,Reggi Jaquin,52,F,2,Human Resources,Latino,0.7,TRUE
3062,Randie Jaycock,27,M,4,Human Resources,Latino,3.7,TRUE
3063,Fina Humblestone,39,F,1,Sales,Asian,2.7,TRUE
3064,Gabbey Gwilliam,25,F,4,Product Management,Other,2,FALSE
3065,Amandi Sommerlie,26,F,3,Research and Development,Latino,4,TRUE
3066,Payton Carbry,25,M,1,Support,Asian,0.7,FALSE
3067,Dorey Extall,24,M,1,Services,Black,2.3,FALSE
3068,Shepard Hobell,59,M,1,Research and Development,Latino,1.7,TRUE
3069,Tremaine Chubb,44,M,2,Accounting,Latino,2.3,FALSE
3070,Allister Batchley,21,M,5,Product Management,Black,0,TRUE
3071,Norris Saines,59,M,2,Training,White,0,TRUE
3072,Renaldo Critten,24,M,5,Business Development,Black,3.3,TRUE
3073,Stephani Biddiss,45,F,5,Training,White,0.7,FALSE
3074,Svend Stanbury,45,M,2,Accounting,Latino,0.7,TRUE
3075,Scot Harbisher,48,M,5,Services,Black,2,FALSE
3076,Tansy Roberto,53,F,1,Product Management,Other,3.7,FALSE
3077,Britt Chapelhow,54,M,5,Human Resources,White,1.7,TRUE
3078,Marlie McKerron,54,F,3,Support,Black,3,TRUE
3079,Peterus Cratchley,59,M,1,Sales,White,3.3,TRUE
3080,Herculie Pick,60,M,2,Engineering,Latino,1.7,FALSE
3081,Drusi Gilbart,24,F,4,Sales,Latino,3.7,TRUE
3082,Clare MacCracken,50,F,1,Product Management,Black,1,TRUE
3083,Myrtie Lumox,49,F,5,Marketing,Other,1,TRUE
3084,Otis Asaaf,55,M,5,Human Resources,Black,3.7,TRUE
3085,Orelle Hutchison,58,F,5,Product Management,Black,3.7,TRUE
3086,Thaxter Cremen,58,M,5,Product Management,Other,2.3,FALSE
3087,Edan Gorling,43,M,4,Accounting,Asian,1.3,TRUE
3088,Erma Redford,32,F,5,Support,White,0.7,FALSE
3089,Giulio Stollmeier,31,M,2,Training,Latino,3,FALSE
3090,Berkley Akett,37,M,1,Accounting,Other,2,FALSE
3091,Ulrick Dalziel,53,M,3,Research and Development,Black,1,TRUE
3092,Dulciana Ingold,35,F,2,Engineering,Asian,0,FALSE
3093,Aylmar Seaman,28,M,4,Support,Other,1,FALSE
3094,Dore Disdel,21,F,3,Sales,Asian,1.3,FALSE
3095,Basil Glossop,45,M,4,Business Development,Other,0,TRUE
3096,Valene Kitchener,23,F,1,Research and Development,Other,0,FALSE
3097,Giovanni Pietri,38,M,5,Marketing,Latino,2.7,TRUE
3098,Inesita Farron,27,F,3,Research and Development,Black,4,TRUE
3099,Tymothy Snalom,60,M,3,Support,Black,1,TRUE
3100,Fiona Tomankiewicz,33,F,2,Research and Development,Asian,1.7,TRUE
3101,Brandtr Blackeby,36,M,1,Sales,Other,3,FALSE
3102,Emilia Wessel,32,F,1,Accounting,Asian,0,FALSE
3103,Shina Jenks,23,F,3,Marketing,Black,4,FALSE
3104,Ingar Bytheway,21,M,2,Legal,Asian,1,TRUE
3105,Nobe Cicci,33,M,2,Marketing,Black,0.7,FALSE
3106,Vick Ausello,26,M,4,Engineering,Asian,4,TRUE
3107,Ty Radleigh,23,M,1,Marketing,Black,3,TRUE
3108,Catriona Dealtry,37,F,5,Business Development,Asian,0.7,FALSE
3109,Patton Yewen,34,M,1,Training,Black,3.3,FALSE
3110,Rowan Ogg,59,M,1,Engineering,Asian,1.7,FALSE
3111,Staci Quarterman,21,F,5,Accounting,Other,2,TRUE
3112,Jarad Whordley,36,M,2,Human Resources,Black,2.7,TRUE
3113,Anatollo Kiln,24,M,1,Marketing,Black,4,FALSE
3114,Haily Longley,34,M,2,Support,Black,2.7,FALSE
3115,Prince Colledge,50,M,1,Marketing,Black,3.3,FALSE
3116,Cristiano Arnholdt,46,M,4,Research and Development,Latino,0,FALSE
3117,Kit Turmall,51,M,2,Support,Other,1.7,FALSE
3118,Welbie Cankett,51,M,4,Human Resources,Black,3.3,TRUE
3119,Matty Elie,59,M,3,Business Development,Black,1,FALSE
3120,Daffy Jarmain,31,F,2,Legal,White,1,TRUE
3121,Staffard Bucktharp,48,M,4,Sales,Black,0,TRUE
3122,Cyril Balthasar,35,M,3,Business Development,White,2.3,TRUE
3123,Nicolas Farleigh,56,M,3,Engineering,Other,1.3,TRUE
3124,Nelson Rushsorth,23,M,2,Accounting,White,2.3,TRUE
3125,Anita Sinnatt,54,F,2,Human Resources,White,4,FALSE
3126,Bartholemy Oguz,21,M,4,Sales,Latino,3,FALSE
3127,Garth Matches,48,M,4,Accounting,Other,1.3,TRUE
3128,Rosalinda Goosey,23,F,1,Business Development,Asian,2.3,FALSE
3129,Katya Lindenman,53,F,5,Legal,Latino,1,FALSE
3130,Skell Kleszinski,32,M,3,Engineering,Asian,4,FALSE
3131,Martguerita Raitie,60,F,3,Training,Asian,4,FALSE
3132,Brand McDuff,55,M,5,Services,Latino,4,TRUE
3133,Rancell Worms,21,M,3,Product Management,Latino,4,FALSE
3134,Scot Bosomworth,57,M,2,Product Management,Latino,4,FALSE
3135,Clarke Hyde-Chambers,44,M,4,Accounting,Other,2.3,FALSE
3136,Averill Sterrie,53,M,3,Research and Development,Asian,1,FALSE
3137,Danila Curado,26,F,3,Training,Latino,0,TRUE
3138,Vitia Risdall,29,F,3,Support,Latino,3.7,FALSE
3139,Mauricio Pizzie,25,M,1,Engineering,Latino,3.7,TRUE
3140,Maggi Glasscott,22,F,5,Business Development,Latino,3.7,FALSE
3141,Morgan Frantsev,52,M,3,Training,Latino,1,FALSE
3142,Dari Poyner,21,F,1,Training,White,4,TRUE
3143,Godard Thominga,55,M,3,Product Management,Other,0.7,TRUE
3144,David Midlar,21,M,1,Research and Development,Latino,0.7,TRUE
3145,Howie Vesco,59,M,4,Services,Other,1.7,FALSE
3146,Dotti Henrych,51,F,4,Marketing,White,2.7,FALSE
3147,Clarance Parvin,51,M,2,Marketing,Black,0,FALSE
3148,Garrick Verey,59,M,1,Human Resources,Asian,0,FALSE
3149,Evey Skilling,54,F,2,Engineering,Latino,3.7,TRUE
3150,Charleen Dadswell,29,F,3,Training,Black,3,TRUE
3151,Ernestus Mewis,34,M,4,Engineering,Latino,0,FALSE
3152,Elroy Farnworth,40,M,2,Research and Development,White,3.3,FALSE
3153,Viviene McWilliams,29,F,3,Training,Asian,3,FALSE
3154,Maynard Starcks,55,M,4,Research and Development,White,2,FALSE
3155,Kasey Wickwar,25,F,3,Marketing,White,2,TRUE
3156,Ramon Cay,37,M,5,Research and Development,Other,1.7,FALSE
3157,Gav Gatrill,33,M,4,Marketing,Latino,2.7,FALSE
3158,Susie Cassam,38,F,3,Product Management,Latino,1,TRUE
3159,Hasty Tattershall,42,M,2,Human Resources,Other,0,FALSE
3160,Leonerd Fattori,43,M,5,Research and Development,Black,3,TRUE
3161,Forrest Ingry,39,M,1,Business Development,Asian,2.3,FALSE
3162,Nathaniel Penburton,34,M,4,Engineering,White,0,FALSE
3163,Brianna Warrell,47,F,1,Services,Asian,0.7,FALSE
3164,Inge Baise,35,F,1,Services,Black,3,TRUE
3165,Rich Dioniso,33,M,2,Legal,Black,1,FALSE
3166,Barbara Beceril,39,F,4,Legal,Black,4,TRUE
3167,Helaine Mawman,55,F,2,Research and Development,White,2,TRUE
3168,Massimo Dugood,47,M,4,Product Management,Other,0,TRUE
3169,Jeffie Tonbye,49,M,3,Sales,White,2,FALSE
3170,Alasteir Winsome,35,M,1,Accounting,Asian,4,TRUE
3171,Damon Gockelen,55,M,1,Marketing,Other,2.3,FALSE
3172,Broderick Standring,50,M,4,Human Resources,White,0,FALSE
3173,Berkie Rottger,47,M,4,Services,Black,1.7,FALSE
3174,Gard Catcherside,49,M,2,Research and Development,Latino,4,TRUE
3175,Vanni Celes,29,F,3,Marketing,White,0.7,FALSE
3176,Neda Brabham,46,F,2,Business Development,Black,2,TRUE
3177,Nefen Boniface,22,M,2,Accounting,Asian,2,TRUE
3178,Wit Gilson,52,M,3,Marketing,Other,3.3,FALSE
3179,Elene Melburg,41,F,3,Services,Black,2.3,FALSE
3180,Garrett Garment,55,M,1,Legal,Black,2.3,TRUE
3181,Cecelia Cantu,28,F,5,Business Development,Asian,3,TRUE
3182,Gawen Meriguet,35,M,4,Sales,Latino,2,TRUE
3183,Genovera De Stoop,27,F,1,Accounting,Black,1,FALSE
3184,Neill Onge,30,M,1,Services,White,3.7,FALSE
3185,Daisi Stilwell,44,F,3,Accounting,Asian,2,FALSE
3186,Cleo Wain,51,F,5,Engineering,Black,3.7,TRUE
3187,York Blewitt,33,M,2,Support,Latino,2.3,FALSE
3188,Gery Winwright,46,M,5,Services,Black,1.3,TRUE
3189,Wilona Allon,24,F,3,Legal,Other,2.7,TRUE
3190,Kynthia Von Der Empten,25,F,1,Services,Latino,3.7,TRUE
3191,Evvie Ransley,38,F,2,Product Management,White,3,FALSE
3192,Garey Leverage,51,M,2,Training,Latino,2.7,FALSE
3193,Maighdiln Steagall,51,F,1,Product Management,Other,1.7,FALSE
3194,Junia MacDirmid,48,F,2,Marketing,Latino,3.3,FALSE
3195,Dita Devin,44,F,1,Sales,Black,3.3,FALSE
3196,Bram Silk,43,M,4,Product Management,Latino,3.3,FALSE
3197,Trix Perfili,54,F,1,Sales,Black,2.7,FALSE
3198,De Ferrara,58,F,4,Engineering,Other,2,FALSE
3199,Waverley Scramage,46,M,3,Sales,Black,0,FALSE
3200,Sapphire Kubera,23,F,3,Sales,White,1,FALSE
3201,Vanya Rainger,49,F,2,Research and Development,Black,2.7,FALSE
3202,Wendeline Coogan,32,F,3,Product Management,Latino,1.7,FALSE
3203,Fernandina Fruchter,44,F,5,Training,Black,1,TRUE
3204,Fawnia McGray,44,F,3,Legal,Asian,3,FALSE
3205,Isidor Ingerman,58,M,2,Training,Asian,3.7,TRUE
3206,Turner Beadle,55,M,2,Marketing,Other,3.7,FALSE
3207,Friederike Arnely,37,F,1,Research and Development,Asian,3.7,FALSE
3208,Ethelin Jolley,49,F,3,Research and Development,White,3,TRUE
3209,Pegeen Litzmann,49,F,2,Engineering,Other,2,FALSE
3210,Giffy Slee,30,M,2,Accounting,Asian,1.7,FALSE
3211,Oby Fuentes,39,M,3,Sales,Black,3.7,TRUE
3212,Martyn Crollman,56,M,5,Legal,White,3.3,TRUE
3213,Hilario Goschalk,32,M,4,Business Development,Latino,1,FALSE
3214,Lorena Rugge,60,F,3,Accounting,Latino,4,FALSE
3215,Ellery Ahrens,27,M,1,Engineering,White,1,TRUE
3216,Johnna Lapish,55,F,2,Training,Latino,0.7,FALSE
3217,Sandra Trench,44,F,5,Support,Other,3.3,FALSE
3218,Brion Girardetti,59,M,1,Accounting,Other,1,TRUE
3219,Briggs Chatenet,60,M,2,Support,White,2,TRUE
3220,Gilberte Commings,40,F,4,Sales,Latino,1.7,FALSE
3221,Hillel Frankland,60,M,4,Business Development,Asian,4,TRUE
3222,Karleen Erwin,51,F,3,Business Development,Asian,1,FALSE
3223,Isis Spiers,38,F,2,Accounting,Black,3.7,TRUE
3224,Elisha Tofanelli,24,F,3,Research and Development,White,3.3,FALSE
3225,Carlie Gerger,32,F,1,Services,Black,3.7,FALSE
3226,Nicholas Smallshaw,46,M,5,Services,White,2.7,FALSE
3227,Dwain Whitebread,46,M,2,Services,Black,1,FALSE
3228,Shirley Dowey,26,F,3,Training,Black,2,TRUE
3229,Cristen Fair,30,F,2,Human Resources,Latino,3.3,FALSE
3230,Pansie Quartley,36,F,1,Support,Other,1,FALSE
3231,Griz Skittles,24,M,3,Product Management,White,1,FALSE
3232,Bink Winchcombe,51,M,2,Engineering,Other,0,FALSE
3233,Moria Fishburn,52,F,2,Human Resources,Latino,3,TRUE
3234,Paula Bowring,29,F,3,Human Resources,Other,4,TRUE
3235,Benita Beetlestone,30,F,1,Marketing,Latino,2.7,TRUE
3236,Ancell Willman,39,M,4,Training,Black,1.3,TRUE
3237,Conrad Kilmartin,48,M,3,Product Management,Latino,3,TRUE
3238,Cathe Spurritt,44,F,5,Support,Other,3.3,TRUE
3239,Genevieve Chevalier,40,F,4,Business Development,Black,3.7,FALSE
3240,Jourdan Norridge,51,F,4,Marketing,Latino,2,TRUE
3241,Denney Tumbelty,44,M,4,Business Development,Other,2.7,TRUE
3242,Madelon Alen,29,F,4,Research and Development,Black,1.7,TRUE
3243,Trula Hildrew,41,F,5,Business Development,Other,3.7,FALSE
3244,Cassaundra Stegel,43,F,1,Business Development,Latino,0.7,TRUE
3245,Gilbert Fitzharris,41,M,3,Legal,White,3.7,FALSE
3246,Normy Crimmins,33,M,4,Support,White,0,TRUE
3247,Karney Yakutin,42,M,3,Legal,Black,4,TRUE
3248,Corry Cathel,50,F,1,Marketing,Other,1.7,TRUE
3249,Amaleta Prose,60,F,4,Services,White,2.7,FALSE
3250,Giffer Robins,51,M,3,Product Management,Black,2.7,TRUE
3251,Ferguson Boarer,57,M,4,Business Development,White,0.7,TRUE
3252,Hendrika Hanlon,27,F,2,Training,White,3.3,FALSE
3253,Alphonso Aberdalgy,56,M,2,Marketing,Asian,2.7,FALSE
3254,Maxie Ragge,55,F,1,Sales,White,3,FALSE
3255,Kass Sarch,26,F,3,Legal,White,3,FALSE
3256,Tansy Blanshard,56,F,1,Business Development,Other,0,TRUE
3257,Eadmund Salvatore,36,M,3,Training,Asian,2.7,FALSE
3258,Jerrome Akitt,36,M,5,Research and Development,Latino,1.7,FALSE
3259,Ab Zannutti,51,M,2,Research and Development,Black,3,FALSE
3260,Horatio Yedall,56,M,2,Training,Asian,2.7,FALSE
3261,Gerri Snook,59,M,2,Accounting,Asian,1,TRUE
3262,Richy Antal,21,M,2,Training,White,4,TRUE
3263,Nannette Pell,53,F,3,Services,Other,3.3,FALSE
3264,Constantine Seale,57,F,4,Legal,White,2,FALSE
3265,Isis Crowder,30,F,1,Product Management,White,3.7,FALSE
3266,Klemens de Vaen,40,M,2,Engineering,White,4,TRUE
3267,Betty Alexander,24,F,2,Services,Latino,2.3,TRUE
3268,Glynis Henbury,56,F,5,Services,Black,0,TRUE
3269,Freddie Espinheira,22,M,1,Services,White,4,FALSE
3270,Meredithe Kerner,59,F,4,Legal,Other,3.3,FALSE
3271,Lucas Raccio,33,M,1,Engineering,Latino,1.7,FALSE
3272,Paxton Rawsthorne,40,M,3,Research and Development,Asian,2.7,FALSE
3273,Bertie Pirrey,47,F,3,Training,Latino,3,TRUE
3274,Tilly Demougeot,50,F,4,Business Development,Other,3.3,TRUE
3275,Dora Howson,26,F,3,Training,White,3.3,TRUE
3276,Emmit Slott,56,M,3,Marketing,Asian,1.3,FALSE
3277,Keelby Greenrod,24,M,2,Business Development,Latino,1.3,TRUE
3278,Brit Sambles,58,F,3,Training,Other,2.3,FALSE
3279,Dory Tremelling,57,M,3,Research and Development,Asian,3.3,FALSE
3280,Mayne Scamerdine,28,M,4,Business Development,Black,0.7,TRUE
3281,Estrellita Trevains,56,F,5,Legal,Asian,3.3,TRUE
3282,Lester Drysdell,48,M,2,Legal,Latino,0,TRUE
3283,Dorian Abramov,53,F,3,Support,White,3.7,FALSE
3284,Taylor Fain,56,M,1,Accounting,Latino,3,FALSE
3285,Kermy Mottershead,45,M,5,Services,Other,0,TRUE
3286,Titos Sigsworth,30,M,4,Human Resources,Black,1,TRUE
3287,Heida Veneur,48,F,1,Marketing,Asian,3.7,TRUE
3288,Chas Searby,24,M,1,Marketing,White,3,TRUE
3289,Rici Beccero,39,F,3,Business Development,Asian,1,FALSE
3290,Hally Denizet,33,F,1,Accounting,Other,3.7,FALSE
3291,Odie Fowls,49,M,2,Training,White,2.7,TRUE
3292,Zorina Saxelby,48,F,4,Business Development,Other,1.7,TRUE
3293,Wylma Eastope,41,F,1,Legal,Other,4,TRUE
3294,Cristy Ellacombe,58,F,4,Research and Development,Other,1.3,TRUE
3295,Marlow Fletcher,38,M,5,Research and Development,Asian,0.7,TRUE
3296,Sansone Rippingall,50,M,1,Support,Other,1,FALSE
3297,Adey Sandercock,51,F,2,Human Resources,White,0.7,FALSE
3298,Meghann Kelsall,56,F,1,Legal,Other,2.3,TRUE
3299,Harman O'Shiels,55,M,3,Human Resources,Latino,2,FALSE
3300,Loralie Maciak,29,F,1,Training,Latino,1.7,FALSE
3301,Wendy Lukovic,21,F,5,Business Development,White,4,TRUE
3302,Rab Filipputti,25,M,4,Engineering,Other,0.7,FALSE
3303,Evonne Thomtson,45,F,1,Business Development,Other,0,TRUE
3304,Frasco Gemlett,55,M,3,Legal,Other,1,FALSE
3305,Wrennie Stitt,26,F,4,Training,Black,0,FALSE
3306,Brendan O'Dee,37,M,2,Engineering,Latino,3,FALSE
3307,Kelcie Esmead,25,F,4,Engineering,White,0.7,FALSE
3308,Martin Brashaw,44,M,1,Engineering,Other,2.7,FALSE
3309,Farley Helversen,38,M,1,Legal,Black,0,FALSE
3310,Wrennie Castellani,24,F,3,Sales,White,3.3,FALSE
3311,Christen Rimmer,58,F,4,Support,White,4,FALSE
3312,Guinna Welch,44,F,3,Marketing,Asian,2.3,TRUE
3313,Andie Bottomer,22,M,1,Accounting,Asian,1,TRUE
3314,King Christoffels,39,M,4,Sales,Latino,0,TRUE
3315,April Thurbon,56,F,3,Support,Black,3.3,TRUE
3316,Barnett Kobpal,22,M,5,Training,Latino,2.7,TRUE
3317,Haily Grenkov,33,M,5,Research and Development,Black,0.7,FALSE
3318,Illa Stammler,58,F,3,Support,Other,3,TRUE
3319,Chen Mulgrew,44,M,4,Product Management,Other,3.7,TRUE
3320,Granville Lory,51,M,5,Accounting,White,3.7,FALSE
3321,Audre Huge,52,F,2,Human Resources,Black,2.7,FALSE
3322,Odelinda Bruckshaw,49,F,5,Marketing,White,0,FALSE
3323,Amil Filippone,33,F,2,Support,Black,0.7,TRUE
3324,Conrado Lukianov,36,M,1,Accounting,White,3,FALSE
3325,Marianna Fabler,39,F,4,Business Development,White,4,TRUE
3326,Agna Snozzwell,43,F,4,Business Development,Other,3,TRUE
3327,Kary Hunnicutt,37,F,2,Legal,White,1,TRUE
3328,Beulah Treacy,23,F,1,Business Development,Asian,4,FALSE
3329,Delia Franschini,53,F,5,Marketing,White,2.3,TRUE
3330,Welch Gallant,52,M,3,Sales,Other,1.3,TRUE
3331,Marjie Papes,36,F,4,Support,Black,2.3,FALSE
3332,Gayelord Foyle,41,M,1,Human Resources,White,2.3,FALSE
3333,Faber Lynnett,26,M,5,Engineering,Asian,3,FALSE
3334,Teri Antyukhin,52,F,4,Business Development,Asian,4,FALSE
3335,Devina Doorly,58,F,2,Services,Asian,3.3,TRUE
